name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"A & E PLASTIK PAK INC"	"000032"	1961	1000	1977	1000	1	1961	1977	1
"A & M FOOD SERVICES INC"	"000165"	1983	1001	1985	1001	1	1983	1985	
"AAI CORP"	"000352"	1960	1002	1972	1002	1	1960	1972	
"A.A. IMPORTING CO INC"	"000354"	1982	1003	1989	1003	1	1982	1989	
"AAR CORP"	"000361"	1965	1004	2005	1004	1	1965	2005	1
"A.B.A. INDUSTRIES INC"	"000370"	1974	1005	1981	1005	1	1974	1981	
"ABC INDS INC"	"000736"	1974	1006	1982	1006	1	1974	1982	
"ABKCO INDUSTRIES INC"	"000774"	1974	1007	1984	1007	1	1974	1984	0
"ABM COMPUTER SYSTEMS INC"	"000775"	1983	1008	1985	1008	1	1983	1985	
"ABS INDUSTRIES INC"	"000781"	1981	1009	1994	1009	1	1981	1994	
"ACF INDUSTRIES HOLDING CORP"	"00099Y"	1950	1010	2003	1010	1	1950	2003	1
"ACS ENTERPRISES INC"	"000872"	1982	1011	1994	1011	1	1982	1994	
"ACS INDUSTRIES INC"	"000874"	1974	1012	1989	1012	1	1974	1989	1
"ADC TELECOMMUNICATIONS INC"	"000886"	1974	1013	2006	1013	1	1974	2006	1
"ADDSCO INDUSTRIES INC"	"000887"	1974	1014	1992	1014	1	1974	1992	0
"ADI ELECTRONICS INC"	"000893"	1982	1015	1987	1015	1	1982	1987	
"AEC INC"	"001015"	1974	1016	1987	1016	1	1974	1987	1
"AEL INDUSTRIES  -CL A"	"001030"	1960	1017	1994	1017	1	1960	1994	1
"AES TECHNOLOGY SYSTEMS INC"	"001032"	1974	1018	1987	1018	1	1974	1987	1
"AFA PROTECTIVE SYSTEMS INC"	"001038"	1970	1019	2001	1019	1	1970	2001	
"AFG INDUSTRIES INC"	"001054"	1962	1020	1989	1020	1	1962	1989	1
"AFP IMAGING CORP"	"001058"	1980	1021	2006	1021	1	1980	2006	1
"AGM INDUSTRIES INC"	"001220"	1974	1022	1982	1022	1	1974	1982	1
"AGS COMPUTERS INC"	"001240"	1981	1023	1987	1023	1	1981	1987	
"A I A INDUSTRIES INC"	"001320"	1983	1024	1983	1024	1	1983	1983	
"A I C INTL INC"	"001348"	1973	1025	1995	1025	1	1973	1995	
"AID INC-DEL CL A"	"001360"	1966	1026	1976	1026	1	1966	1976	
"A I M COS"	"001412"	1960	1027	1969	1027	1	1960	1969	
"AIM TELEPHONES INC"	"001423"	1981	1028	1990	1028	1	1981	1990	
"A.I.N. LEASING CORP"	"001425"	1982	1029	1983	1029	1	1982	1983	
"A I T S INC"	"001444"	1973	1030	1984	1030	1	1973	1984	
"A J INDS INC"	"001476"	1960	1031	1975	1031	1	1960	1975	
"AKF FOODS INC"	"001545"	1974	1032	1982	1032	1	1974	1982	
"A L D INC"	"001604"	1974	1033	1993	1033	1	1974	1993	1
"ALPHARMA INC  -CL A"	"020813"	1983	1034	2006	1034	1	1983	2006	1
"UNITED DOMINION INDUSTRIES"	"909914"	1978	1036	2000	1036	1	1978	2000	1
"AM COMMUNICATIONS INC"	"001674"	1979	1037	2001	1037	1	1979	2001	
"AMC ENTERTAINMENT INC -OLD"	"001669"	1982	1038	2003	164271	1	1982	2003	
"AMC INVESTORS INC"	"001670"	1965	1039	1978	1039	1	1965	1978	
"AMF INC"	"001688"	1950	1040	1984	1040	1	1950	1984	1
"AMI INDUSTRIES INC"	"001715"	1960	1041	1972	1041	1	1960	1972	1
"AMI SYSTEMS INC"	"001719"	1981	1042	1984	1042	1	1981	1984	
"MULTIGRAPHICS INC"	"625440"	1950	1043	1999	1043	1	1950	1999	1
"AMK CORP"	"001732"	1960	1044	1969	1044	1	1960	1969	
"AMR CORP/DE"	"001765"	1950	1045	2006	1045	1	1950	2006	1
"AMS/REALSTAR INC"	"001785"	1982	1046	1986	1046	1	1982	1986	0
"ANEFCO INC"	"001812"	1980	1047	1983	1047	1	1980	1983	0
"ANR PIPELINE CO"	"001814"	1973	1048	2006	1048	1	1973	2006	1
"APF ELECTRONICS"	"001855"	1972	1049	1982	1049	1	1972	1982	
"CECO ENVIRONMENTAL CORP"	"125141"	1974	1050	2006	1050	1	1974	2006	
"API INSTRUMENTS CO"	"001860"	1960	1051	1968	1051	1	1960	1968	
"API TRUST"	"001864"	1973	1052	1981	1052	1	1973	1981	
"AFI CORP"	"001900"	1974	1053	1980	1053	1	1974	1980	
"ASK GROUP INC"	"001903"	1981	1054	1993	1054	1	1981	1993	
"AST RESEARCH INC"	"001907"	1984	1055	1996	1055	1	1984	1996	1
"AEROFLEX INC"	"007768"	1974	1056	2006	1056	1	1974	2006	1
"ABEX CORP"	"001935"	1964	1057	1967	1057	1	1964	1967	
"APL CORP"	"002024"	1960	1058	1992	1058	1	1960	1992	1
"A P S INC"	"002030"	1971	1059	1980	1059	1	1971	1980	
"ARI INDUSTRIES INC"	"002048"	1973	1061	1979	1061	1	1973	1979	1
"ASA LTD"	"G3156P"	1966	1062	2006	1062	1	1966	2006	
"ASI"	"002056"	1975	1063	1981	1063	1	1975	1981	1
"ASI COMMUNICATIONS INC"	"002058"	1974	1064	1985	1064	1	1974	1985	
"AT&E CORP"	"002062"	1982	1065	1990	1065	1	1982	1990	1
"ATE ENTERPRISES INC"	"002068"	1984	1066	1985	1066	1	1984	1985	
"ATI INC"	"00099X"	1960	1067	1983	1067	1	1960	1983	1
"A T INDUSTRIES INC"	"002078"	1974	1068	1986	1068	1	1974	1986	
"ATV SYSTEMS INC"	"002095"	1982	1069	1984	1069	1	1982	1984	
"AVC CORP"	"002280"	1968	1070	1979	1070	1	1968	1979	1
"A V ELECTRONICS INC"	"002344"	1966	1071	1969	1071	1	1966	1969	
"AVX CORP"	"002444"	1973	1072	2006	1072	1	1973	2006	1
"AW COMPUTER SYSTEMS  -CL A"	"002448"	1980	1073	1997	1073	1	1980	1997	1
"AZL RESOURCES INC"	"002455"	1965	1074	1981	1074	1	1965	1981	
"PINNACLE WEST CAPITAL CORP"	"723484"	1951	1075	2006	1075	1	1951	2006	1
"AARON RENTS INC"	"002535"	1981	1076	2006	1076	1	1981	2006	
"AARONSON BROTHERS STORES CP"	"002536"	1974	1077	1979	1077	1	1974	1979	0
"ABBOTT LABORATORIES"	"002824"	1950	1078	2006	1078	1	1950	2006	1
"ARP CORP"	"002904"	1960	1079	1974	1768	1	1960	1973	1
"ABERDEEN PETROLEUM CORP-CL A"	"003230"	1963	1080	1975	1080	1	1963	1975	
"ABITIBI CONSOLIDATED INC"	"003924"	1974	1081	2006	1081	1	1974	2006	1
"SERVIDYNE INC"	"81765M"	1977	1082	2005	1082	1	1977	2005	0
"ACA JOE INC"	"003870"	1973	1083	1991	1083	1	1973	1991	
"WORLDS.COM INC"	"98156G"	1974	1084	2000	1084	1	1974	2000	0
"AT&T TECHNOLOGIES INC"	"003999"	1970	1085	1984	1581	-1			1
"AMETECH INC"	"031095"	1974	1086	1996	1086	1	1974	1996	0
"ACADIA PETROLEUM CORP"	"004220"	1981	1087	1982	1087	1	1981	1982	
"ACAPULCO RESTAURANTS"	"004295"	1977	1088	1985	1088	1	1977	1985	0
"ACCELERATORS INC"	"004302"	1971	1089	1979	1089	1	1971	1979	1
"ACCESS CORP"	"004312"	1974	1090	1997	1090	1	1974	1997	1
"ACCO WORLD CORP"	"004330"	1981	1091	1986	1091	1	1981	1986	1
"ACCU TEST SYSTEMS INC"	"004377"	1980	1092	1981	1092	1	1980	1981	
"ACCURAY CORP"	"004396"	1966	1093	1985	1093	1	1966	1985	1
"ACETO CORP"	"004446"	1963	1094	2006	1094	1	1963	2006	1
"ACKERLEY GROUP INC"	"004527"	1980	1095	2001	1095	1	1980	2001	0
"ACMAT CORP  -CL A"	"004616"	1971	1097	2003	1097	1	1971	2003	1
"ACME-CLEVELAND CORP"	"004626"	1968	1098	1995	1098	1	1968	1995	1
"ACME ELECTRIC CORP"	"004644"	1960	1099	2000	1099	1	1960	2000	1
"ACME GENERAL CORP"	"004671"	1968	1100	1984	1100	1	1968	1984	1
"ACME-HAMILTON MFG CORP"	"004680"	1974	1101	1977	1101	1	1974	1977	1
"ACME INDS INC"	"004698"	1960	1102	1970	1102	1	1960	1970	
"ACME PRECISION PRODUCTS INC"	"004770"	1960	1103	1988	1103	1	1960	1988	1
"ACME UNITED CORP"	"004816"	1968	1104	2006	1104	1	1968	2006	1
"ACRO ENERGY CORP"	"004898"	1973	1106	1985	1106	1	1973	1985	
"ACE HARDWARE CORP"	"00499Y"	1976	1107	2002	1107	1	1976	2002	1
"ACTION INDUSTRIES INC"	"005041"	1969	1108	1997	1108	1	1969	1997	1
"ACTION PRODUCTS INTL INC"	"004920"	1983	1109	2006	1109	1	1983	2006	
"ACTIVISION INC"	"004930"	1982	1111	2005	1111	1	1982	2005	1
"ACTMEDIA INC"	"005049"	1982	1112	1988	1112	1	1982	1988	1
"ACTON CORP  -OLD"	"00599Y"	1961	1113	1987	1113	1	1961	1987	
"ACUSHNET CO"	"005086"	1962	1114	1975	1114	1	1962	1975	1
"ADAC LABORATORIES"	"005313"	1979	1115	2000	1115	1	1979	2000	1
"ADACORP INC"	"005315"	1974	1116	1990	1116	1	1974	1990	0
"RELM WIRELESS CORP"	"759525"	1973	1117	2006	1117	1	1973	2006	
"ADAMS DRUG INC"	"006203"	1972	1118	1983	1118	1	1972	1983	
"ADAMS-MILLIS CORP"	"006284"	1950	1120	1987	1120	1	1950	1987	
"ADAMS RESOURCES & ENERGY INC"	"006351"	1974	1121	2006	1121	1	1974	2006	
"ADAMS RUSSELL"	"006356"	1963	1122	1986	1122	1	1963	1986	1
"ADCOR ELECTRONICS INC"	"006511"	1984	1123	1985	1123	1	1984	1985	
"ADDISON-WESLEY PUB  -CL B"	"006680"	1962	1124	1986	1124	1	1962	1986	
"ADDITIVE TECHNOLOGY CORP"	"006688"	1984	1125	1990	1125	1	1984	1990	1
"ADDMASTER CORP"	"006698"	1973	1126	1988	1126	1	1973	1988	1
"ADHESIVES & CHEMICALS INC"	"87978Q"	1977	1127	1984	1127	1	1977	1984	
"ADIA SERVICES INC"	"006874"	1983	1128	1993	1128	1	1983	1993	
"ADVANCED FUEL SYSTEMS INC"	"006901"	1981	1129	1982	1129	1	1981	1982	
"ADVANCED LOGIC SYSTEMS INC"	"006902"	1983	1130	1987	1130	1	1983	1987	
"ADLEY CORP"	"007086"	1961	1131	1972	1131	1	1961	1972	0
"ADMINISTRATIVE SYSTEMS INC"	"007104"	1967	1132	1971	1132	1	1967	1971	
"ADMIRAL CORP"	"007158"	1950	1133	1972	1133	1	1950	1972	
"ADOBE BUILDING CENTERS INC"	"007235"	1974	1134	1977	1134	1	1974	1977	
"ADOBE OIL & GAS CORP"	"007239"	1970	1135	1984	1135	1	1970	1984	
"ADRIAN STEEL CO"	"007338"	1966	1136	1972	1136	1	1966	1972	1
"ADVANCE CIRCUITS INC"	"007383"	1974	1137	1994	1137	1	1974	1994	1
"ADVANCE ROSS CORP"	"00750D"	1962	1138	1994	1138	1	1962	1994	
"ADVANCED CHEMICAL TECHNOLOGY"	"007509"	1973	1139	1980	1139	1	1973	1980	1
"ADVANCED COMMUNICATIONS INC"	"007510"	1983	1140	1986	1140	1	1983	1986	
"ADVANCED COMPUTER TECHNIQUES"	"007518"	1973	1141	1992	1141	1	1973	1992	
"ADVANCED ENERGY CORP"	"00753L"	1982	1142	1990	1142	1	1982	1990	
"ADVANCED ENERGY RESOURCES"	"00753M"	1984	1143	1988	1143	1	1984	1988	
"ADVANCED DRILLING SYSTEMS"	"007531"	1976	1144	1985	1144	1	1976	1985	
"ADVANCED SYSTEMS INC"	"007547"	1979	1145	1986	1145	1	1979	1986	1
"ADVENT CORP"	"007551"	1972	1146	1979	1146	1	1972	1979	1
"ADVERTISING UNLIMITED INC"	"007557"	1974	1147	1986	1147	1	1974	1986	1
"ADVEST GROUP INC"	"007566"	1981	1148	2000	1148	1	1981	2000	1
"AEGIS CORP"	"007603"	1960	1150	1983	1150	1	1960	1983	1
"AEQUITRON MEDICAL INC"	"007631"	1983	1151	1995	1151	1	1983	1995	1
"AERCO CORP CL A"	"007644"	1961	1152	1972	1152	1	1961	1972	
"AERO-FLOW DYNAMICS INC"	"007680"	1960	1153	1981	1153	1	1960	1981	
"AERO SYSTEMS ENGINEERING INC"	"007692"	1975	1154	2002	1154	1	1975	2002	1
"AERO SYSTEMS INC"	"007698"	1973	1155	1991	1155	1	1973	1991	
"AERODEX INC"	"007752"	1967	1156	1974	1156	1	1967	1974	
"AEROJET GENERAL CORP"	"007788"	1950	1157	1971	1157	1	1950	1971	1
"AEROLOGICAL RESEARCH INC"	"007806"	1965	1158	1969	1158	1	1965	1969	1
"AERONCA INC"	"007842"	1960	1159	1985	1159	1	1960	1985	1
"AERONIX INC"	"007860"	1968	1160	1968	1160	1	1968	1968	
"ADVANCED MICRO DEVICES"	"007903"	1972	1161	2006	1161	1	1972	2006	1
"ADVENTURE LANDS OF AMERICA"	"007905"	1974	1162	1984	1162	1	1974	1984	
"ADVANCED MONITORING SYS INC"	"007910"	1983	1163	1993	1163	1	1983	1993	1
"MCI INC"	"552691"	1974	1164	2004	1164	1	1974	2004	1
"B-FAST CORP"	"055413"	1980	1165	2006	1165	1	1980	2006	
"ASM INTERNATIONAL NV"	"N07045"	1981	1166	2006	1166	1	1981	2006	1
"ADVANT CORP"	"007915"	1981	1167	1981	1167	1	1981	1981	1
"ADVANCED ENERGY CONCEPTS INC"	"007919"	1983	1168	1988	1168	1	1983	1988	
"ADV GENETIC SCIENCES"	"007920"	1982	1169	1987	1169	1	1982	1987	
"ADVANCED TELECOMMUN-OLD"	"00799Y"	1984	1170	1984	1170	1	1984	1984	
"ADVANCED TELECOMMUNICATIONS"	"007923"	1984	1171	1991	1171	1	1984	1991	
"ADV PROFESSIONAL SALES-OLD"	"007926"	1982	1172	1985	1172	1	1982	1985	
"AEROSONIC CORP"	"008015"	1973	1173	2005	1173	1	1973	2005	1
"AEROTRON INC"	"008050"	1960	1174	1978	1174	1	1960	1978	1
"AEROVOX CORP"	"008086"	1960	1175	1972	20900	1	1960	1972	1
"AETNA BUSINESS CREDIT INC"	"008092"	1976	1176	1979	1176	1	1976	1979	
"AETNA INC"	"00817Y"	1972	1177	2006	1177	1	1972	2006	1
"AFFILIATED BANKSHARES COLO"	"008182"	1974	1178	1991	1178	1	1974	1991	
"AFFILIATED CAPITAL CORP"	"008185"	1978	1179	1981	1179	1	1978	1981	
"AFFILIATED HOSPITAL PRDS"	"008230"	1966	1180	1983	1180	1	1966	1983	1
"AFFILIATED PUBNS"	"008262"	1973	1181	1992	1181	1	1973	1992	
"AFTER SIX INC"	"008315"	1970	1182	1984	1182	1	1970	1984	1
"IDNA INC"	"45169P"	1982	1183	2005	1183	1	1982	2005	
"AGGIE OIL CO"	"008458"	1980	1184	1981	1184	1	1980	1981	0
"AGNICO EAGLE MINES LTD"	"008474"	1973	1186	2006	1186	1	1973	2006	0
"AGOIL INC-OLD"	"008484"	1980	1188	1981	1188	1	1980	1981	0
"AGRI DYNAMICS INC"	"008495"	1974	1190	1994	1190	1	1974	1994	1
"AGROW INDUSTRIES INC"	"008545"	1974	1191	1983	1191	1	1974	1983	
"AGUIRRE CO"	"008644"	1950	1192	1978	1192	1	1950	1978	0
"AGWAY INC"	"008662"	1974	1193	2002	1193	1	1974	2002	1
"AHMANSON (H F) & CO"	"008677"	1974	1194	1997	1194	1	1974	1997	0
"AID AUTO STORES INC  -OLD"	"008708"	1974	1195	1984	61090	1	1974	1984	
"AIKEN INDUSTRIES INC"	"008788"	1967	1196	1975	1196	1	1967	1975	1
"AILEEN INC"	"008878"	1961	1197	1993	1197	1	1961	1993	0
"AGRICULTURAL & INDL DEV INC"	"008900"	1973	1199	1979	1199	1	1973	1979	
"AIR CALIFORNIA"	"009086"	1967	1200	1972	1200	1	1967	1972	
"AIR CARGO EQUIPMENT CORP"	"009095"	1974	1201	1987	1201	1	1974	1987	1
"AIR CHAPARRAL INC"	"009100"	1980	1202	1982	1202	1	1980	1982	
"AIR EXPRESS INTERNATIONAL CP"	"009104"	1974	1203	1998	1203	1	1974	1998	
"AIR FLORIDA SYSTEM INC"	"009114"	1974	1204	1983	1204	1	1974	1983	
"AIR FORWARDERS INC"	"009118"	1974	1205	1978	1205	1	1974	1978	
"AIR INDS CORP"	"009122"	1962	1206	1973	1206	1	1962	1973	1
"AIR KING CORP"	"009124"	1962	1207	1973	1207	1	1962	1973	
"AIR MIDWEST INC"	"009135"	1981	1208	1990	1208	1	1981	1990	
"AIR PRODUCTS & CHEMICALS INC"	"009158"	1950	1209	2006	1209	1	1950	2006	1
"AIR T INC"	"009207"	1982	1210	2005	1210	1	1982	2005	
"AIR WEST INC"	"009230"	1960	1211	1968	1211	1	1960	1968	
"AIR WISCONSIN SERVICES INC"	"009236"	1974	1212	1990	1212	1	1974	1990	
"AIRBORNE INC"	"009269"	1965	1213	2002	1213	1	1965	2002	1
"ACI HOLDING INC"	"000865"	1982	1214	1986	1214	1	1982	1986	
"AIRCO INC"	"009292"	1950	1215	1977	1215	1	1950	1977	1
"AIRCRAFT INSTRUMENT & DEV"	"009346"	1973	1216	1987	1216	1	1973	1987	
"AIRLIFT INTERNATIONAL INC"	"009374"	1974	1217	1980	1217	1	1974	1980	0
"AIRPAX ELECTRONICS INC"	"009446"	1960	1218	1975	1218	1	1960	1975	1
"AIRWICK INDUSTRIES INC"	"009536"	1963	1219	1973	1219	1	1963	1973	1
"AJAX MAGNETHERMIC CORP"	"009644"	1960	1220	1974	1220	1	1960	1974	1
"AKZONA"	"010202"	1950	1221	1981	1221	1	1950	1981	1
"ALA MOANA HAWAII PROPERTIES"	"010207"	1982	1222	1987	1222	1	1982	1987	0
"ALABAMA BY-PRODUCTS  -CL B"	"010239"	1966	1223	1984	1223	1	1966	1984	
"ALABAMA GAS CORP"	"010284"	1982	1224	2006	1224	1	1982	2006	
"ALABAMA POWER CO"	"010392"	1964	1225	2006	1225	1	1964	2006	1
"ALAMCO INC"	"010742"	1981	1226	1996	1226	1	1981	1996	0
"ALAMITO CO"	"011240"	1984	1227	1985	1227	1	1984	1985	0
"ALANCO TECHNOLOGIES INC"	"011612"	1980	1228	2006	1228	1	1980	2006	
"ALANTHUS CORP"	"011634"	1967	1229	1977	1229	1	1967	1977	0
"ALASKA AIR GROUP INC"	"011659"	1960	1230	2006	1230	1	1960	2006	
"ALASKA GOLD CO"	"011703"	1975	1231	1994	1231	1	1975	1994	
"ALASKA INTL INDUSTRIES INC"	"011723"	1974	1232	1978	1232	1	1974	1978	
"ALASKA NORTHWEST PROPERTIES"	"011750"	1980	1233	1995	1233	1	1980	1995	
"ATRION CORP"	"049904"	1962	1234	2006	1234	1	1962	2006	1
"ALBA-WALDENSIAN INC"	"012041"	1963	1235	1998	1235	1	1963	1998	1
"ALBANY INTL CORP  -OLD"	"012347"	1966	1236	1982	14084	1	1966	1982	1
"ALBEE HOMES INC"	"012644"	1960	1237	1971	1237	1	1960	1971	
"ALBERTA ENERGY CO LTD"	"012873"	1987	1238	2001	1238	1	1987	2001	1
"ALBERTO-CULVER CO"	"013078"	1956	1239	2006	1239	1	1956	2006	1
"ALBERTSON'S INC"	"013104"	1961	1240	2005	1240	1	1961	2005	0
"ALBION INTL RESOURCES INC"	"013325"	1984	1241	1988	1241	1	1984	1988	
"ALBUQUERQUE WESTN SOLAR INDS"	"013655"	1978	1242	1985	1242	1	1978	1985	
"ALCAN INC"	"013716"	1950	1243	2006	1243	1	1950	2006	1
"ALCIDE CORP"	"013742"	1983	1244	2002	1244	1	1983	2002	1
"AMERISOURCE CORP"	"03071N"	1984	1245	1994	145120	1	1984	1994	0
"IKON OFFICE SOLUTIONS"	"451713"	1954	1246	2006	1246	1	1954	2006	1
"ALCOLAC INC"	"013880"	1964	1247	1980	1247	1	1964	1980	1
"ALCON LABORATORIES INC"	"013896"	1962	1248	1976	1248	1	1962	1976	1
"ALDEBARAN DRILLING CO INC"	"013900"	1982	1249	1985	1249	1	1982	1985	
"ALDEN ELECTRONICS INC"	"014086"	1973	1250	1995	1250	1	1973	1995	1
"ALDON INDUSTRIES INC"	"014419"	1974	1251	1985	1251	1	1974	1985	1
"ALDRICH CHEMICAL INC"	"014428"	1967	1252	1974	1252	1	1967	1974	
"ALEXANDER & ALEXANDER"	"014476"	1968	1253	1995	1253	1	1968	1995	
"ALEXANDER & BALDWIN INC"	"014482"	1962	1254	2006	1254	1	1962	2006	
"ALEXANDER ENERGY CORP"	"014617"	1980	1255	1995	1255	1	1980	1995	
"ALEXANDER HAMILTON INST INC"	"014626"	1968	1256	1969	1256	1	1968	1969	
"ALEXANDER'S INC"	"014752"	1969	1257	2006	1257	1	1969	2006	
"CAPCO ENERGY INC"	"13916P"	1981	1258	2005	1258	1	1981	2005	
"ALFACELL CORP"	"015404"	1984	1259	2006	1259	1	1984	2006	1
"ADRIEN ARPEL INC"	"007361"	1983	1260	1998	1260	1	1983	1998	
"ALGERAN INC"	"015599"	1979	1261	1982	1261	1	1979	1982	0
"ALGOMA STEEL INC"	"01566M"	1987	1263	2006	1263	1	1987	2006	1
"ALGOREX CORP"	"015867"	1974	1264	1991	1264	1	1974	1991	1
"AMERICAN EAGLE RESOURCES INC"	"02553L"	1984	1265	1997	1265	1	1984	1997	
"ALICO INC"	"016230"	1962	1266	2006	1266	1	1962	2006	0
"ALISON AYRES INC"	"016410"	1974	1267	1979	1267	1	1974	1979	
"ALL AMERICAN BURGER INC"	"016476"	1979	1268	1980	1268	1	1979	1980	
"ALL AMERICAN GOURMET CO"	"016505"	1984	1269	1986	1269	1	1984	1986	
"ALL AMERICAN INDUSTRIES INC"	"016509"	1974	1270	1981	1270	1	1974	1981	1
"ALL SEASONS RESORTS INC"	"016634"	1984	1271	1988	1271	1	1984	1988	
"ALL STATE PROPERTIES  -LP"	"016662"	1978	1272	2006	1272	1	1978	2006	
"ALL-STATES LEASING CO"	"016666"	1976	1273	1979	1273	1	1976	1979	
"ALLEGHANY CORP"	"017175"	1974	1274	2006	1274	1	1974	2006	
"ALLEGHENY & WESTERN ENER-OLD"	"01799Y"	1982	1275	1985	1275	1	1982	1985	
"ALLEGHENY & WESTERN RAILWAY"	"017230"	1974	1276	1983	1276	1	1974	1983	
"ALLECO INC"	"016783"	1967	1277	1994	1277	1	1967	1994	0
"SUNBEAM CORPORATION"	"867071"	1950	1278	1999	1278	1	1950	1999	1
"ALLEGHENY ENERGY INC"	"017361"	1951	1279	2006	1279	1	1951	2006	
"ALLEGRI-TECH INC"	"017483"	1960	1280	1972	1280	1	1960	1972	
"ALLEN TELECOM INC"	"018091"	1950	1281	2002	1281	1	1950	2002	1
"ALLEN (R C) INC"	"017645"	1960	1282	1972	1282	1	1960	1972	
"ALLEN ORGAN CO  -CL B"	"017753"	1961	1283	2004	1283	1	1961	2004	1
"ALLERGAN PHARMACEUTICALS INC"	"018492"	1970	1284	1978	1284	1	1970	1978	
"ALLIANCE TIRE &RUBBER  -CL A"	"018789"	1960	1285	1987	1285	1	1960	1987	
"ALLIANCE NORTHWEST INDS INC"	"018716"	1984	1286	1994	1286	1	1984	1994	
"ALLIED AERO INDUSTRIES INC"	"018843"	1962	1287	1971	1287	1	1962	1971	
"ALLIED ARTISTS INDUSTRIES"	"018859"	1960	1288	1977	1288	1	1960	1977	
"ALLIED ARTISTS PICTURES CORP"	"018861"	1960	1289	1974	1289	1	1960	1974	
"ALLIED BANCSHARES INC-TX"	"018870"	1974	1290	1986	1290	1	1974	1986	
"ALLIED CONTROL INC"	"019105"	1960	1291	1973	1291	1	1960	1973	
"ALLIED FARM EQUIPMENT  -CL A"	"019177"	1974	1292	1988	1292	1	1974	1988	
"ALLIED FOODS INC"	"019213"	1969	1293	1981	1293	1	1969	1981	
"ALLIED MAINTENANCE"	"019267"	1960	1294	1981	1294	1	1960	1981	
"ALLIED MILLS INC"	"019285"	1950	1295	1972	1295	1	1950	1972	
"ALLIED NURSING CARE INC"	"019359"	1982	1296	1985	1296	1	1982	1985	
"ALLIED PRODUCTS"	"019411"	1950	1297	1999	1297	1	1950	1999	1
"ALLIED RESEARCH ASSOC INC"	"01999Z"	1964	1298	1972	1298	1	1964	1972	
"ALLIED SECURITY INC-OLD"	"019509"	1974	1299	1989	1299	1	1974	1989	
"HONEYWELL INTERNATIONAL INC"	"438516"	1950	1300	2006	1300	1	1950	2006	1
"ALLIED STORES"	"019519"	1950	1301	1990	1301	1	1950	1990	
"ALLIED SUPERMARKETS"	"019537"	1956	1302	1987	1302	1	1956	1987	
"ALLIED TECHNOLOGY INC"	"019547"	1974	1303	1979	1303	1	1974	1979	
"ALLIED TELEPHONE"	"019555"	1962	1304	1982	1304	1	1962	1982	
"ALLIED THERMAL CORP"	"019573"	1960	1305	1976	1305	1	1960	1976	1
"ALLIED VAN LINES INC"	"019580"	1971	1306	1986	1306	1	1971	1986	1
"ALLIS-CHALMERS CREDIT CORP"	"019625"	1979	1307	1984	1307	1	1979	1984	
"ALLIS-CHALMERS ENERGY INC"	"019645"	1950	1308	2006	1308	1	1950	2006	1
"ALLISON STEEL MFG CO"	"019717"	1960	1309	1970	1309	1	1960	1970	
"ALLISTER CORP"	"019740"	1974	1310	1983	1310	1	1974	1983	0
"ALC COMMUNICATIONS INC"	"001575"	1982	1311	1994	1311	1	1982	1994	
"ALLOY METAL PRODUCTS INC"	"019852"	1974	1312	1986	1312	1	1974	1986	
"ALLOYS UNLIMITED INC"	"019861"	1960	1313	1969	1313	1	1960	1969	
"ALLRIGHT AUTO PARKS INC"	"019879"	1963	1314	1981	1314	1	1963	1981	1
"ALLY & GARGANO INC"	"019901"	1983	1315	1985	1315	1	1983	1985	0
"ALLSTATE FINANCIAL CORP"	"020010"	1977	1316	1981	1316	1	1977	1981	
"ALLSTATE INDUSTRIES INC"	"020015"	1960	1317	1967	1317	1	1960	1967	
"ALLTEL CORP"	"020039"	1961	1318	2006	1318	1	1961	2006	1
"ALLYN & BACON INC"	"020051"	1951	1319	1979	1319	1	1951	1979	
"ALMADEN VINEYARDS INC-DEL"	"020287"	1972	1320	1976	1320	1	1972	1976	
"ALMY STORES INC"	"020425"	1967	1322	1983	1322	1	1967	1983	
"ALNAN INC"	"020435"	1961	1323	1974	1323	1	1961	1974	0
"SCHERER HEALTHCARE INC"	"806530"	1975	1324	2001	1324	1	1975	2001	1
"ALOHA INC"	"020486"	1974	1325	1985	1325	1	1974	1985	1
"ALPEX COMPUTER CORP"	"020714"	1975	1326	1981	1326	1	1975	1981	1
"SKYWORKS SOLUTIONS INC"	"83088M"	1965	1327	2006	1327	1	1965	2006	1
"ALPHA SOLARCO INC"	"020774"	1979	1328	1995	1328	1	1979	1995	1
"ALPHANUMERIC INC"	"020789"	1974	1329	1981	1329	1	1974	1981	
"ALPHATYPE CORP"	"020815"	1974	1330	1980	1330	1	1974	1980	1
"ALPINE GROUP INC"	"020825"	1973	1331	2005	1331	1	1973	2005	
"ASIA SUPERNET CORP"	"04517Q"	1974	1332	1999	1332	1	1974	1999	0
"ALPHA PETROLEUM EXPLORATION"	"020902"	1979	1333	1983	1333	1	1979	1983	
"NQL INC"	"629369"	1980	1334	2000	1334	1	1980	2000	
"ALLTEL NEW YORK INC"	"01999X"	1976	1335	1996	1335	1	1976	1996	
"ALLTEL PENNSYLVANIA INC"	"01999Y"	1974	1336	2002	1336	1	1974	2002	
"ALLTEL ILLINOIS INC"	"02099Z"	1974	1337	1992	1337	1	1974	1992	
"ALTA ENERGY CORP-OLD"	"02199Y"	1982	1338	1989	20063	1	1982	1989	
"ALTA INDUSTRIES CORP"	"021276"	1974	1339	1978	1339	1	1974	1978	
